local,pin,area,district,state
Agra Chauk S.O,282003,NA,Agra,UTTAR PRADESH
Aharan B.O,283201,NA,Agra,UTTAR PRADESH
Akola S.O (Agra),283102,NA,Agra,UTTAR PRADESH
Arela B.O,283201,NA,Agra,UTTAR PRADESH
Arhera B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Arsena B.O,282007,NA,Agra,UTTAR PRADESH
Behrampur B.O,283202,Etmadpur,Agra,UTTAR PRADESH
Bhara B.O,283115,Kheragarh,Agra,UTTAR PRADESH
C.O.D. S.O,282009,Agra,Agra,UTTAR PRADESH
Darki B.O,283112,NA,Agra,UTTAR PRADESH
Digner B.O,283125,Agra,Agra,UTTAR PRADESH
Fatehapursikari S.O,283110,Kiraoli,Agra,UTTAR PRADESH
G.M Khan S.O,282003,NA,Agra,UTTAR PRADESH
Garhwar B.O,283114,Bah,Agra,UTTAR PRADESH
Gokulpura S.O,282002,NA,Agra,UTTAR PRADESH
H.N.Khera B.O,283125,NA,Agra,UTTAR PRADESH
Hospital Road S.O (Agra),282003,NA,Agra,UTTAR PRADESH
Jaganpur B.O,282005,NA,Agra,UTTAR PRADESH
Jagrajpur B.O,283111,NA,Agra,UTTAR PRADESH
Jarari B.O,283111,NA,Agra,UTTAR PRADESH
Kachora Ghat B.O,283114,Bah,Agra,UTTAR PRADESH
Kamtari B.O,283104,NA,Agra,UTTAR PRADESH
Karmyogi Enclave S.O,282005,Agra,Agra,UTTAR PRADESH
Kiraoli S.O,283122,NA,Agra,UTTAR PRADESH
Lajpat Kunj S.O,282002,NA,Agra,UTTAR PRADESH
Loha Mandi S.O,282002,NA,Agra,UTTAR PRADESH
Mahwatpur B.O,283201,Etmadpur,Agra,UTTAR PRADESH
Malupur B.O,283126,Etmadpur,Agra,UTTAR PRADESH
Mankeda B.O,283102,Agra,Agra,UTTAR PRADESH
Mau B.O,283114,Bah,Agra,UTTAR PRADESH
Mihawa B.O,283112,Kheragarh,Agra,UTTAR PRADESH
Murkia B.O,283102,Kheragarh,Agra,UTTAR PRADESH
Murthar Alipur B.O,283201,Etmadpur,Agra,UTTAR PRADESH
Nagar B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Nagar Chand B.O,283111,Bah,Agra,UTTAR PRADESH
Naraich B.O,282006,NA,Agra,UTTAR PRADESH
Naugawan B.O,283114,Bah,Agra,UTTAR PRADESH
Pentikhera B.O,283125,NA,Agra,UTTAR PRADESH
Police Line S.O,282010,NA,Agra,UTTAR PRADESH
Puramana B.O,283122,NA,Agra,UTTAR PRADESH
Puseta B.O,283112,NA,Agra,UTTAR PRADESH
Rasoolpur B.O,283121,NA,Agra,UTTAR PRADESH
Rawatpara S.O,282003,NA,Agra,UTTAR PRADESH
Reha B.O,283123,Bah,Agra,UTTAR PRADESH
Sahata B.O,283105,NA,Agra,UTTAR PRADESH
Salemabad B.O,283122,NA,Agra,UTTAR PRADESH
Samsabad S.O,283125,NA,Agra,UTTAR PRADESH
Sandhan B.O,283101,NA,Agra,UTTAR PRADESH
Sawain B.O,283202,Etmadpur,Agra,UTTAR PRADESH
Shahi B.O,283105,Agra,Agra,UTTAR PRADESH
Shahpur Toola B.O,283125,NA,Agra,UTTAR PRADESH
Shiaupura B.O,283114,Bah,Agra,UTTAR PRADESH
Sidhaoli B.O,283104,NA,Agra,UTTAR PRADESH
Siktara B.O,283201,Etmadpur,Agra,UTTAR PRADESH
Soni Khera B.O,283115,NA,Agra,UTTAR PRADESH
Sultan Pura B.O,282001,NA,Agra,UTTAR PRADESH
Sunari B.O,283105,Agra,Agra,UTTAR PRADESH
Tanora Noorpur B.O,283111,Fatehabad,Agra,UTTAR PRADESH
Tarauli Gujar B.O,283111,NA,Agra,UTTAR PRADESH
Tiwaha B.O,283111,Fatehabad,Agra,UTTAR PRADESH
Ushmanpur B.O,283201,Etmadpur,Agra,UTTAR PRADESH
Waha B.O,283119,Kiraoli,Agra,UTTAR PRADESH
15 Btn PAC Agra,282001,NA,Agra,UTTAR PRADESH
Agra University S.O,282004,NA,Agra,UTTAR PRADESH
Akhabai B.O,283102,Kiraoli,Agra,UTTAR PRADESH
Anwal Khera B.O,283201,Etmadpur,Agra,UTTAR PRADESH
Arnota B.O,283111,Bah,Agra,UTTAR PRADESH
Aulanda B.O,283110,NA,Agra,UTTAR PRADESH
B.V. Bichpuri S.O,283105,NA,Agra,UTTAR PRADESH
Barauli Ahir B.O,283125,NA,Agra,UTTAR PRADESH
Barwar B.O,283119,Kheragarh,Agra,UTTAR PRADESH
Bhadrauli S.O,283113,Agra,Agra,UTTAR PRADESH
Bhalokhara B.O,283111,Bah,Agra,UTTAR PRADESH
Bhogipura S.O,282010,NA,Agra,UTTAR PRADESH
Birai B.O,283124,NA,Agra,UTTAR PRADESH
Chamraua B.O,283104,NA,Agra,UTTAR PRADESH
Chitaura B.O,283125,Fatehabad,Agra,UTTAR PRADESH
Chitra Hat B.O,283114,Bah,Agra,UTTAR PRADESH
Chokda B.O,283201,Etmadpur,Agra,UTTAR PRADESH
Churiyari B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Dhaurra B.O,283202,Etmadpur,Agra,UTTAR PRADESH
Gandhi Nagar S.O (Agra),282003,NA,Agra,UTTAR PRADESH
Gonseli B.O,283104,NA,Agra,UTTAR PRADESH
Jajauli B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Jonai B.O,283124,NA,Agra,UTTAR PRADESH
Kachaura B.O,283101,Kiraoli,Agra,UTTAR PRADESH
Kagrol S.O,283119,Kheragah,Agra,UTTAR PRADESH
Kailash B.O,282007,NA,Agra,UTTAR PRADESH
Kanjauli B.O,283126,NA,Agra,UTTAR PRADESH
Kukapur B.O,283114,Bah,Agra,UTTAR PRADESH
Nagla Patam B.O,283112,Fetehabad,Agra,UTTAR PRADESH
New Agra S.O,282005,NA,Agra,UTTAR PRADESH
Parna B.O,283114,Bah,Agra,UTTAR PRADESH
Phool Pur B.O,283125,NA,Agra,UTTAR PRADESH
Pura Guman Singh B.O,283104,Bah,Agra,UTTAR PRADESH
Rehan Kalan B.O,282006,NA,Agra,UTTAR PRADESH
Sarai B.O,283126,Etmadpur,Agra,UTTAR PRADESH
Sarendi B.O,283119,NA,Agra,UTTAR PRADESH
Seola Jat B.O,282001,NA,Agra,UTTAR PRADESH
Shahaganj S.O (Agra),282010,NA,Agra,UTTAR PRADESH
Sikandra S.O (Agra),282007,NA,Agra,UTTAR PRADESH
Sikraondha B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Subji Mandi S.O,282007,Agra,Agra,UTTAR PRADESH
Yamuna Kinara S.O,282003,NA,Agra,UTTAR PRADESH
Arrua Khas B.O,283101,NA,Agra,UTTAR PRADESH
Baman B.O,283126,NA,Agra,UTTAR PRADESH
Bamrauli Ahir B.O,282009,Agra,Agra,UTTAR PRADESH
Barobara Khurd B.O,283125,NA,Agra,UTTAR PRADESH
Baseri Chahar B.O,283122,NA,Agra,UTTAR PRADESH
Bijhamai B.O,283111,Bah,Agra,UTTAR PRADESH
Budhana Mustkil B.O,282006,Agra,Agra,UTTAR PRADESH
Chaoli B.O,283201,Etmadpur,Agra,UTTAR PRADESH
Civil Court S.O (Agra),282002,NA,Agra,UTTAR PRADESH
Dahtora B.O,282007,Agra,Agra,UTTAR PRADESH
Dauki B.O,283111,Bah,Agra,UTTAR PRADESH
Dehgawan B.O,283115,NA,Agra,UTTAR PRADESH
Deori B.O,282009,Agra,Agra,UTTAR PRADESH
Dhanina B.O,283115,NA,Agra,UTTAR PRADESH
Dharera B.O,283202,Etmadpur,Agra,UTTAR PRADESH
Jagdish Pura S.O,282002,NA,Agra,UTTAR PRADESH
Jarar B.O,283104,NA,Agra,UTTAR PRADESH
Jarua Katra B.O,283102,Agra,Agra,UTTAR PRADESH
Karahara B.O,283105,NA,Agra,UTTAR PRADESH
Kathwari B.O,283101,NA,Agra,UTTAR PRADESH
Keetham B.O,282007,NA,Agra,UTTAR PRADESH
Khandauli S.O,283126,NA,Agra,UTTAR PRADESH
Kheragarh S.O,283121,NA,Agra,UTTAR PRADESH
Kheria B.O,283102,NA,Agra,UTTAR PRADESH
Kukthari B.O,283123,Bah,Agra,UTTAR PRADESH
Lahra B.O,283125,Fatehabad,Agra,UTTAR PRADESH
Malpura B.O,283102,Agra,Agra,UTTAR PRADESH
Mangrol Jat B.O,283101,Kiraoli,Agra,UTTAR PRADESH
Mitaoli B.O,283201,Etmadpur,Agra,UTTAR PRADESH
Nadeem B.O,283124,NA,Agra,UTTAR PRADESH
Nibohara B.O,283111,Fatehabad,Agra,UTTAR PRADESH
P.R.R S.O,282001,NA,Agra,UTTAR PRADESH
Raja Mandi S.O,282002,NA,Agra,UTTAR PRADESH
Richoba B.O,283115,NA,Agra,UTTAR PRADESH
Rojholi B.O,283122,Kiraoli,Agra,UTTAR PRADESH
Sahara B.O,283105,Agra,Agra,UTTAR PRADESH
Samara B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Sarai Khawaja S.O,282001,NA,Agra,UTTAR PRADESH
Shastripuram S.O,282007,NA,Agra,UTTAR PRADESH
Shoe Market S.O,282003,NA,Agra,UTTAR PRADESH
Tehu B.O,283201,Etmadpur,Agra,UTTAR PRADESH
Tnatpur B.O,283115,Kheragarh,Agra,UTTAR PRADESH
Umretha B.O,283123,Bah,Agra,UTTAR PRADESH
Undera B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Agra City S.O,282003,NA,Agra,UTTAR PRADESH
Agra H.O,282001,NA,Agra,UTTAR PRADESH
Baharawati B.O,283101,NA,Agra,UTTAR PRADESH
Bamnai Kalan B.O,283115,NA,Agra,UTTAR PRADESH
Bamrauli B.O,283104,NA,Agra,UTTAR PRADESH
Bamrauli Katara B.O,282006,Agra,Agra,UTTAR PRADESH
Bhakar B.O,283121,NA,Agra,UTTAR PRADESH
Bhilawali B.O,283121,NA,Agra,UTTAR PRADESH
Biara B.O,283101,NA,Agra,UTTAR PRADESH
Biprawali B.O,283123,Bah,Agra,UTTAR PRADESH
Birharu B.O,283124,NA,Agra,UTTAR PRADESH
Chaurangahar B.O,283104,NA,Agra,UTTAR PRADESH
Chhalesar B.O,282006,NA,Agra,UTTAR PRADESH
Civil Line S.O (Agra),282002,NA,Agra,UTTAR PRADESH
Dabar B.O,283110,NA,Agra,UTTAR PRADESH
Dayal Bagh S.O,282005,NA,Agra,UTTAR PRADESH
Deoretha B.O,283122,Agra,Agra,UTTAR PRADESH
Dhandupura B.O,282006,NA,Agra,UTTAR PRADESH
Dhim Shree B.O,283125,Fatehabad,Agra,UTTAR PRADESH
Etmadpur S.O,283202,Etmadpur,Agra,UTTAR PRADESH
Foundry Nagar S.O,282006,NA,Agra,UTTAR PRADESH
Gajaura B.O,283123,Bah,Agra,UTTAR PRADESH
Garshan B.O,283124,NA,Agra,UTTAR PRADESH
Indrapuram S.O,282001,NA,Agra,UTTAR PRADESH
Kalwari B.O,283105,Agra,Agra,UTTAR PRADESH
Korai B.O,283110,NA,Agra,UTTAR PRADESH
Maharajpur B.O,283111,Bah,Agra,UTTAR PRADESH
Mahuar B.O,283122,NA,Agra,UTTAR PRADESH
Malviya Kunj S.O,282002,NA,Agra,UTTAR PRADESH
N.M.Palika S.O,282002,NA,Agra,UTTAR PRADESH
Nagaria B.O,283111,Fatehabad,Agra,UTTAR PRADESH
Nai Ki Mandi S.O,282010,NA,Agra,UTTAR PRADESH
Nainana Jat B.O,282009,NA,Agra,UTTAR PRADESH
Nunhai B.O,282006,NA,Agra,UTTAR PRADESH
Panwari B.O,282007,NA,Agra,UTTAR PRADESH
Phulatti Bazar S.O,282003,NA,Agra,UTTAR PRADESH
Pinahat S.O,283123,NA,Agra,UTTAR PRADESH
Pura Kanhera B.O,283113,Bah,Agra,UTTAR PRADESH
Pura Tinnet B.O,283104,NA,Agra,UTTAR PRADESH
Rajora B.O,283113,Bah,Agra,UTTAR PRADESH
Ratoti B.O,283113,Bah,Agra,UTTAR PRADESH
Richhpura B.O,283114,Bah,Agra,UTTAR PRADESH
Rithori B.O,283124,NA,Agra,UTTAR PRADESH
Rohta B.O,282009,NA,Agra,UTTAR PRADESH
Rudhmuli B.O,283104,NA,Agra,UTTAR PRADESH
Sabora B.O,283123,Bah,Agra,UTTAR PRADESH
Sarendha B.O,283119,NA,Agra,UTTAR PRADESH
Sikrara B.O,283111,Fatehabad,Agra,UTTAR PRADESH
Agwar B.O,283202,NA,Agra,UTTAR PRADESH
Ayela B.O,283124,NA,Agra,UTTAR PRADESH
Bainpur B.O,282007,NA,Agra,UTTAR PRADESH
Balu Ganj S.O,282001,NA,Agra,UTTAR PRADESH
Barauli Gujar B.O,283111,NA,Agra,UTTAR PRADESH
Basoni B.O,283123,Bah,Agra,UTTAR PRADESH
Birthala B.O,283112,NA,Agra,UTTAR PRADESH
Bodla B.O,282007,NA,Agra,UTTAR PRADESH
Daoli B.O,283105,NA,Agra,UTTAR PRADESH
Daultabad B.O,283101,NA,Agra,UTTAR PRADESH
Doora B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Fatehabad Bazaar S.O,283111,Bah,Agra,UTTAR PRADESH
G.G Industries S.O,282004,NA,Agra,UTTAR PRADESH
Gurki Mandi B.O,283110,NA,Agra,UTTAR PRADESH
Iradat Nagar S.O,283112,NA,Agra,UTTAR PRADESH
Jajau B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Kakua B.O,282009,Agra,Agra,UTTAR PRADESH
Karodhana Kala B.O,282009,NA,Agra,UTTAR PRADESH
Khandri B.O,282002,NA,Agra,UTTAR PRADESH
Kukthala B.O,283105,NA,Agra,UTTAR PRADESH
Mahab B.O,283112,Kheragarh,Agra,UTTAR PRADESH
Medical College S.O (Agra),282002,NA,Agra,UTTAR PRADESH
Mehra Chudhary B.O,283111,Fatehabad,Agra,UTTAR PRADESH
Nadgawan B.O,283114,Bah,Agra,UTTAR PRADESH
Nagla Sabla B.O,282006,NA,Agra,UTTAR PRADESH
Palia B.O,283111,Fatehabad,Agra,UTTAR PRADESH
Prathvi Nath Fatak S.O,282010,NA,Agra,UTTAR PRADESH
R.B.S.College S.O,282002,NA,Agra,UTTAR PRADESH
Rakabganj S.O,282001,NA,Agra,UTTAR PRADESH
Rasoolpur B.O,283111,Fatehabad,Agra,UTTAR PRADESH
Sanjeti B.O,283114,Bah,Agra,UTTAR PRADESH
Shyamo B.O,283125,Agra,Agra,UTTAR PRADESH
Swara B.O,283111,Fatehabad,Agra,UTTAR PRADESH
Taj Nagari S.O,282004,Agra,Agra,UTTAR PRADESH
Taj S.O,282001,NA,Agra,UTTAR PRADESH
Tajganj S.O,282001,NA,Agra,UTTAR PRADESH
Agra Fort H.O,282003,NA,Agra,UTTAR PRADESH
Artoni B.O,282007,NA,Agra,UTTAR PRADESH
Bah S.O,283104,NA,Agra,UTTAR PRADESH
Barhan S.O,283201,Etmadpur,Agra,UTTAR PRADESH
Basona B.O,283126,NA,Agra,UTTAR PRADESH
Bhagupur B.O,283202,Etmadpur,Agra,UTTAR PRADESH
Bichola B.O,283113,Bah,Agra,UTTAR PRADESH
Cheet B.O,283119,NA,Agra,UTTAR PRADESH
Collectrate S.O,282010,NA,Agra,UTTAR PRADESH
Digrauta B.O,283119,NA,Agra,UTTAR PRADESH
Hazipur Khera B.O,282006,Etmadpur,Agra,UTTAR PRADESH
Hotal Clarkshiraj S.O,282001,NA,Agra,UTTAR PRADESH
